term	family
Parathyroid hormone synthesis, secretion and action	Hormone response
Parkinson disease	Stress response
Pathogenic Escherichia coli infection	NF-kB / Inflammation
Pathways in cancer	Growth factor signaling
Pathways of neurodegeneration	Stress response
Pertussis	NF-kB / Inflammation
Phagosome	TCR / antigen receptor
Phosphatidylinositol signaling system	Metabolism — biosynthetic
Primary immunodeficiency	TCR / antigen receptor
Prion disease	Stress response
Prolactin signaling pathway	Growth factor signaling
Propanoate metabolism	Metabolism — oxidative
Proteasome	Proliferation / cell cycle
Protein export	Metabolism — biosynthetic
Protein processing in endoplasmic reticulum	Stress response
RIG-I-like receptor signaling pathway	Type I/II interferon
Regulation of actin cytoskeleton	Migration / adhesion
Relaxin signaling pathway	Growth factor signaling
Retrograde endocannabinoid signaling	Metabolism — oxidative
Rheumatoid arthritis	NF-kB / Inflammation
Salmonella infection	NF-kB / Inflammation
Shigellosis	NF-kB / Inflammation
Small cell lung cancer	Growth factor signaling
Spliceosome	Proliferation / cell cycle
Systemic lupus erythematosus	TCR / antigen receptor
T cell receptor signaling pathway	TCR / antigen receptor
TGF-beta signaling pathway	Growth factor signaling
TNF signaling pathway	NF-kB / Inflammation
Th1 and Th2 cell differentiation	TCR / antigen receptor
Th17 cell differentiation	TCR / antigen receptor
Thermogenesis	Metabolism — oxidative
Thyroid cancer	Growth factor signaling
Toll-like receptor signaling pathway	Type I/II interferon
Toxoplasmosis	Disease / infection (excluded)
Transcriptional misregulation in cancer	Growth factor signaling
Tuberculosis	NF-kB / Inflammation
Type I diabetes mellitus	TCR / antigen receptor
Type II diabetes mellitus	Hormone response
Valine, leucine and isoleucine degradation	Metabolism — oxidative
Vasopressin-regulated water reabsorption	Disease / infection (excluded)
Vibrio cholerae infection	NF-kB / Inflammation
Viral carcinogenesis	Growth factor signaling
Viral myocarditis	TCR / antigen receptor
Viral protein interaction with cytokine and cytokine receptor	Cytokine signaling
Yersinia infection	NF-kB / Inflammation
cAMP signaling pathway	Growth factor signaling
mRNA surveillance pathway	Proliferation / cell cycle
p53 signaling pathway	Stress response
